hedId	rdfs:label	Level	omn:SubClassOf	Attributes	dc:description	omn:EquivalentTo
HED_0062001	Language	0	Item	rooted=Item	A specific system of communication, with a vocabulary and grammar, which is used by a particular community or in a country.	
HED_0062002	Afroasiatic-language	1	Language		A system of communication belonging to the family of languages mainly spoken in West Asia, North Africa, the Horn of Africa and parts of the Sahara and Sahel.	
HED_0062003	Arabic	2	Afroasiatic-language		An Afroasiatic language spoken mainly in Northern Africa and Western Asia.	
HED_0062004	Hebrew	2	Afroasiatic-language		An Afroasiatic language mainly spoken in Israel.	
HED_0062005	Atlantic-Congo-language	1	Language		A system of communication belonging to the family of languages mainly spoken in South, and parts of Central and West Africa.	
HED_0062006	Swahili	2	Atlantic-Congo-language		An atlantic congo language mainly spoken in Tanzania, Kenya and Mozambique.	
HED_0062007	Austroasiatic	1	Language		A system of communication belonging to the family of languages mainly spoken in Southeast Asia, South Asia and East Asia.	
HED_0062008	Vietnamese	2	Austroasiatic		An Austroasiatic language mainly spoken in Vietnam.	
HED_0062009	Austronesian-language	1	Language		A system of communication belonging to the family of languages mainly spoken in Southeast Asi, Madagascar, the islands of the Pacific Ocean and Taiwan.	
HED_0062010	Malay	2	Austronesian-language		An Austronesian language manily spoken in Brunei, Indonesia, Malaysia, Singapore, East Timor and parts of Thailand.	
HED_0062011	Dravidian	1	Language		A system of communication belonging to the family of languages mainly spoken in Southern India, Northeast Sri Lanka Southwest Pakistan and some regions of Nepal.	
HED_0062012	Tamil	2	Dravidian		A Dravidian Language spoken the Indian state Tamil Nadu, Puducherry and Sri Lanka and Singapore.	
HED_0062013	Indo-European-language	1	Language	suggestedTag=Language-property	A system of communication belonging to the family of languages native to the majority of Europe, the Iranian plateau, and the northern Indian subcontinent.	Language and (suggestedTag some Language-property)
HED_0062014	Baltic-language	2	Indo-European-language		A system of communication belonging to the family of languages originating in Northeastern Europe.	
HED_0062015	Latvian	3	Baltic-language		A baltic language spoken mainly in Latvia.	
HED_0062016	Lithuanian	3	Baltic-language		A baltic language spoken mainly in Lithuania.	
HED_0062017	Germanic-language	2	Indo-European-language		A system of communication belonging to the family of languages originating in Northwestern and Central Europe and Scandinavia, currently spoken mainly in Europe, North America, Oceania and Southern Africa.	
HED_0062018	Danish	3	Germanic-language		A Germanic language, mainly spoken in Denmark.	
HED_0062019	Dutch	3	Germanic-language		A Germanic Language which is spoken in parts of Western Europe, South America and the Caribbean islands.	
HED_0062020	English	3	Germanic-language		A Germanic Language which is spoken in the United Kingdom, parts of North America, and Oceania and is used in parts of Africa, Asia and Oceania as an adminastrative language.	
HED_0062021	German	3	Germanic-language		A Germanic Language which is mainly spoken in Western and Central Europe.	
HED_0062022	Icelandic	3	Germanic-language		A Germanic language mainly spoken in Iceland.	
HED_0062023	Norwegian	3	Germanic-language		A Germanic language mainly spoken in Norway.	
HED_0062024	Swedish	3	Germanic-language		A Germanic language mainly spoken in Sweden and parts of Finland.	
HED_0062025	Romance-language	2	Indo-European-language		A system of communication belonging to the family of languages directly descending from Vulgar Latin.	
HED_0062026	Catalan	3	Romance-language		A Romance language spoken in Andorra, and several autonomous communities in Eastern Spain as well as a department in Southern France.	
HED_0062027	French	3	Romance-language		A Romance language spoken in parts of Western Europe, North America and Africa, and is used as an adminatrative or official language in parts of the world.	
HED_0062028	Galician	3	Romance-language		A Romance language mainly spoken in Galicia.	
HED_0062029	Gallo-Rhaetian-language	3	Romance-language		A group of historically related Romance varieties spoken in Switzerland and Northern Italy.	
HED_0062030	Italian	3	Romance-language		A Romance language mainly spoken in Italy and parts of Switzerland.	
