hedId	Level	rdfs:label	omn:SubClassOf	Attributes	dc:description
HED_0062001	0	Language	Item	rooted=Item, annotation=dc:source Original, annotation=rdfs:comment Langue has been suggested as a term to refer to a specific language while the term language in general refers to the high level concept of language and its general properties. However this has never been widely adopted. In context of HED Language as an Item works.	A specific system of communication, with a vocabulary and grammar, which is used by a particular community or in a country.
HED_0062002	1	Afroasiatic-language	Language	annotation=glotto:Glottocode afro1255	A system of communication belonging to the family of languages mainly spoken in West Asia, North Africa, the Horn of Africa and parts of the Sahara and Sahel.
HED_0062003	2	Arabic	Afroasiatic-language	annotation=glotto:Glottocode arab1395	An Afroasiatic language spoken mainly in Northern Africa and Western Asia.
HED_0062004	2	Hebrew	Afroasiatic-language	annotation=glotto:Glottocode hebr1245	An Afroasiatic language mainly spoken in Israel.
HED_0062005	1	Atlantic-Congo-language	Language	annotation=glotto:Glottocode atla1278	A system of communication belonging to the family of languages mainly spoken in South, and parts of Central and West Africa.
HED_0062006	2	Swahili	Atlantic-Congo-language	annotation=glotto:Glottocode swah1253	An atlantic congo language mainly spoken in Tanzania, Kenya and Mozambique.
HED_0062007	1	Austroasiatic	Language	annotation=glotto:aust1305	A system of communication belonging to the family of languages mainly spoken in Southeast Asia, South Asia and East Asia.
HED_0062008	2	Vietnamese	Austroasiatic	annotation=glotto:viet1252	An Austroasiatic language mainly spoken in Vietnam.
HED_0062009	1	Austronesian-language	Language	annotation=glotto:Glottocode aust1307	A system of communication belonging to the family of languages mainly spoken in Southeast Asi, Madagascar, the islands of the Pacific Ocean and Taiwan.
HED_0062010	2	Malay	Austronesian-language	annotation=glotto:Glottocode nucl1806	An Austronesian language mainly spoken in Brunei, Indonesia, Malaysia, Singapore, East Timor and parts of Thailand.
HED_0062011	1	Dravidian	Language	annotation=glotto:Glottocode drav1251, annotation=dc:source Adapted from https://en.wikipedia.org/wiki/Dravidian_languages	A system of communication belonging to the family of languages mainly spoken in Southern India, Northeast Sri Lanka Southwest Pakistan and some regions of Nepal.
HED_0062012	2	Tamil	Dravidian	annotation=glotto:Glottocode tami1289	A Dravidian Language spoken the Indian state Tamil Nadu, Puducherry and Sri Lanka and Singapore.
HED_0062013	1	Indo-European-language	Language	suggestedTag=Language-property, annotation=glotto:Glottocode indo1319, annotation=dc:source Adapted from https://en.wikipedia.org/wiki/Indo-European_languages	A system of communication belonging to the family of languages native to the majority of Europe, the Iranian plateau, and the northern Indian subcontinent.
HED_0062014	2	Baltic-language	Indo-European-language	annotation=glotto:Glottocode east2280	A system of communication belonging to the family of languages originating in Northeastern Europe.
HED_0062015	3	Latvian	Baltic-language	annotation=glotto:Glottocode latv1249	A baltic language spoken mainly in Latvia.
HED_0062016	3	Lithuanian	Baltic-language	annotation=glotto:Glottocode lith1251	A baltic language spoken mainly in Lithuania.
HED_0062017	2	Germanic-language	Indo-European-language	annotation=glotto:Glottocode germ1287	A system of communication belonging to the family of languages originating in Northwestern and Central Europe and Scandinavia, currently spoken mainly in Europe, North America, Oceania and Southern Africa.
HED_0062018	3	Danish	Germanic-language	annotation=glotto:Glottocode dani1285	A Germanic language, mainly spoken in Denmark.
HED_0062019	3	Dutch	Germanic-language	annotation=glotto:Glottocode dutc1256	A Germanic Language which is spoken in parts of Western Europe, South America and the Caribbean islands.
HED_0062020	3	English	Germanic-language	annotation=glotto:Glottocode stan1293	A Germanic Language which is spoken in the United Kingdom, parts of North America, and Oceania and is used in parts of Africa, Asia and Oceania as an administrative language.
HED_0062021	3	German	Germanic-language	annotation=glotto:Glottocode stan1295	A Germanic Language which is mainly spoken in Western and Central Europe.
HED_0062022	3	Icelandic	Germanic-language	annotation=glotto:Glottocode icel1247	A Germanic language mainly spoken in Iceland.
HED_0062023	3	Norwegian	Germanic-language	annotation=glotto:Glottocode norw1258	A Germanic language mainly spoken in Norway.
HED_0062024	3	Swedish	Germanic-language	annotation=glotto:Glottocode swed1254	A Germanic language mainly spoken in Sweden and parts of Finland.
HED_0062025	2	Romance-language	Indo-European-language	annotation=glotto:Glottocode roma1334, annotation=dc:source Adapted from https://en.wikipedia.org/wiki/Romance_languages	A system of communication belonging to the family of languages directly descending from Vulgar Latin.
HED_0062026	3	Catalan	Romance-language	annotation=glotto:Glottocode stan1289	A Romance language spoken in Andorra, and several autonomous communities in Eastern Spain as well as a department in Southern France.
HED_0062027	3	French	Romance-language	annotation=glotto:Glottocode stan1290	A Romance language spoken in parts of Western Europe, North America and Africa, and is used as an administrative or official language in parts of the world.
HED_0062028	3	Galician	Romance-language	annotation=glotto:Glottocode gali1258	A Romance language mainly spoken in Galicia.
HED_0062029	3	Gallo-Rhaetian-language	Romance-language	annotation=glotto:Glottocode gall1280	A group of historically related Romance varieties spoken in Switzerland and Northern Italy.
HED_0062030	3	Italian	Romance-language	annotation=glotto:Glottocode ital1282	A Romance language mainly spoken in Italy and parts of Switzerland.
