hedId	Level	rdfs:label	omn:SubClassOf	Attributes	dc:description
HED_0042001	0	Modulator	HedTag		External stimuli / interventions or changes in the alertness level (sleep) that modify: the background activity, or how often a graphoelement is occurring, or change other features of the graphoelement (like intra-burst frequency). For each observed feature, there is an option of specifying how they are influenced by the modulators and procedures that were done during the recording.
HED_0042002	1	Sleep-modulator	Modulator	suggestedTag=Drowsy, annotation=dc:source Beniczky ea 2017 Section 7 and Table 2	When sleep/drowsiness features are scored during drowsiness, Drowsy should be listed as a modulator
HED_0042003	2	Sleep-deprivation	Sleep-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042004	3	Sleep-deprivation-#	Sleep-deprivation	takesValue, valueClass=textClass	Free text.
HED_0042005	2	Sleep-following-sleep-deprivation	Sleep-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042006	3	Sleep-following-sleep-deprivation-#	Sleep-following-sleep-deprivation	takesValue, valueClass=textClass	Free text.
HED_0042007	2	Natural-sleep	Sleep-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042008	3	Natural-sleep-#	Natural-sleep	takesValue, valueClass=textClass	Free text.
HED_0042009	2	Induced-sleep	Sleep-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042010	3	Induced-sleep-#	Induced-sleep	takesValue, valueClass=textClass	Free text.
HED_0042011	2	Awakening	Sleep-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042012	3	Awakening-#	Awakening	takesValue, valueClass=textClass	Free text.
HED_0042013	1	Medication-modulator	Modulator		
HED_0042014	2	Medication-administered-during-recording	Medication-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042015	3	Medication-administered-during-recording-#	Medication-administered-during-recording	takesValue, valueClass=textClass	Free text.
HED_0042016	2	Medication-withdrawal-or-reduction-during-recording	Medication-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042017	3	Medication-withdrawal-or-reduction-during-recording-#	Medication-withdrawal-or-reduction-during-recording	takesValue, valueClass=textClass	Free text.
HED_0042018	1	Eye-modulator	Modulator		
HED_0042019	2	Manual-eye-closure	Eye-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042020	3	Manual-eye-closure-#	Manual-eye-closure	takesValue, valueClass=textClass	Free text.
HED_0042021	2	Manual-eye-opening	Eye-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042022	3	Manual-eye-opening-#	Manual-eye-opening	takesValue, valueClass=textClass	Free text.
HED_0042023	1	Stimulation-modulator	Modulator		
HED_0042024	2	Intermittent-photic-stimulation	Stimulation-modulator	suggestedTag=Intermittent-photic-stimulation-effect, annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042025	3	Intermittent-photic-stimulation-#	Intermittent-photic-stimulation	takesValue, valueClass=numericClass, unitClass=frequencyUnits	
HED_0042026	2	Auditory-stimulation	Stimulation-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042027	3	Auditory-stimulation-#	Auditory-stimulation	takesValue, valueClass=textClass	Free text.
HED_0042028	2	Nociceptive-stimulation	Stimulation-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042029	3	Nociceptive-stimulation-#	Nociceptive-stimulation	takesValue, valueClass=textClass	Free text.
HED_0042030	1	Hyperventilation	Modulator	annotation=dc:source Beniczky ea 2017 Table 2.	When selecting hyperventilation from the list, the user is prompted to score the quality of the hyperventilation (excellent effort, good effort, poor effort, refused the procedure, unable to do the procedure).
HED_0042031	2	Hyperventilation-refused-procedure	Hyperventilation		
HED_0042032	3	Hyperventilation-refused-procedure-#	Hyperventilation-refused-procedure	takesValue, valueClass=textClass	Free text.
HED_0042033	2	Hyperventilation-poor-effort	Hyperventilation		
HED_0042034	3	Hyperventilation-poor-effort-#	Hyperventilation-poor-effort	takesValue, valueClass=textClass	Free text.
HED_0042035	2	Hyperventilation-good-effort	Hyperventilation		
HED_0042036	3	Hyperventilation-good-effort-#	Hyperventilation-good-effort	takesValue, valueClass=textClass	Free text.
HED_0042037	2	Hyperventilation-excellent-effort	Hyperventilation		
HED_0042038	3	Hyperventilation-excellent-effort-#	Hyperventilation-excellent-effort	takesValue, valueClass=textClass	Free text.
HED_0042039	1	Physical-effort	Modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042040	2	Physical-effort-#	Physical-effort	takesValue, valueClass=textClass	Free text.
HED_0042041	1	Cognitive-task	Modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042042	2	Cognitive-task-#	Cognitive-task	takesValue, valueClass=textClass	Free text.
HED_0042043	1	Other-modulator-or-procedure	Modulator	requireChild, annotation=dc:source Beniczky ea 2017 Table 2.	Free text describing other modulators or procedures.
HED_0042044	2	Other-modulator-or-procedure-#	Other-modulator-or-procedure	takesValue, valueClass=textClass	Free text.
HED_0042045	0	Background-activity	HedTag	annotation=dc:source Beniczky ea 2017 Table 2.	An EEG activity representing the setting in which a given normal or abnormal pattern appears and from which such pattern is distinguished.
