hedId	Level	rdfs:label	omn:SubClassOf	Attributes	dc:description
	0	Event	HedTag	suggestedTag=Task-property	Something that happens at a given time and (typically) place. Elements of this tag subtree designate the general category in which an event falls.
	1	Sensory-event	Event	suggestedTag=Task-event-role, suggestedTag=Sensory-presentation	Something perceivable by the participant. An event meant to be an experimental stimulus should include the tag Task-property/Task-event-role/Experimental-stimulus.
	1	Agent-action	Event	suggestedTag=Task-event-role, suggestedTag=Agent	Any action engaged in by an agent (see the Agent subtree for agent categories). A participant response to an experiment stimulus should include the tag Agent-property/Agent-task-role/Experiment-participant.
	1	Data-feature	Event	suggestedTag=Data-property	An event marking the occurrence of a data feature such as an interictal spike or alpha burst that is often added post hoc to the data record.
	1	Experiment-control	Event		An event pertaining to the physical control of the experiment during its operation.
	1	Experiment-procedure	Event		An event indicating an experimental procedure, as in performing a saliva swab during the experiment or administering a survey.
	1	Experiment-structure	Event		An event specifying a change-point of the structure of experiment. This event is typically used to indicate a change in experimental conditions or tasks.
	1	Measurement-event	Event	suggestedTag=Data-property	A discrete measure returned by an instrument.
	0	Agent	HedTag	suggestedTag=Agent-property	Someone or something that takes an active role or produces a specified effect.The role or effect may be implicit. Being alive or performing an activity such as a computation may qualify something to be an agent. An agent may also be something that simulates something else.
	1	Animal-agent	Agent		An agent that is an animal.
	1	Avatar-agent	Agent		An agent associated with an icon or avatar representing another agent.
	1	Controller-agent	Agent		An agent experiment control software or hardware.
	1	Human-agent	Agent		A person who takes an active role or produces a specified effect.
	1	Robotic-agent	Agent		An agent mechanical device capable of performing a variety of often complex tasks on command or by being programmed in advance.
	1	Software-agent	Agent		An agent computer program.
	0	Action	HedTag	extensionAllowed	Do something.
	1	Communicate	Action		Convey knowledge of or information about something.
	2	Communicate-gesturally	Communicate	relatedTag=Move-face, relatedTag=Move-upper-extremity	Communicate nonverbally using visible bodily actions, either in place of speech or together and in parallel with spoken words. Gestures include movement of the hands, face, or other parts of the body.
	3	Clap-hands	Communicate-gesturally		Strike the palms of against one another resoundingly, and usually repeatedly, especially to express approval.
	3	Clear-throat	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-head	Cough slightly so as to speak more clearly, attract attention, or to express hesitancy before saying something awkward.
	3	Frown	Communicate-gesturally	relatedTag=Move-face	Express disapproval, displeasure, or concentration, typically by turning down the corners of the mouth.
	3	Grimace	Communicate-gesturally	relatedTag=Move-face	Make a twisted expression, typically expressing disgust, pain, or wry amusement.
	3	Nod-head	Communicate-gesturally	relatedTag=Move-head	Tilt head in alternating up and down arcs along the sagittal plane. It is most commonly, but not universally, used to indicate agreement, acceptance, or acknowledgement.
	3	Pump-fist	Communicate-gesturally	relatedTag=Move-upper-extremity	Raise with fist clenched in triumph or affirmation.
	3	Raise-eyebrows	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-eyes	Move eyebrows upward.
	3	Shake-fist	Communicate-gesturally	relatedTag=Move-upper-extremity	Clench hand into a fist and shake to demonstrate anger.
	3	Shake-head	Communicate-gesturally	relatedTag=Move-head	Turn head from side to side as a way of showing disagreement or refusal.
	3	Shhh	Communicate-gesturally	relatedTag=Move-upper-extremity	Place finger over lips and possibly uttering the syllable shhh to indicate the need to be quiet.
	3	Shrug	Communicate-gesturally	relatedTag=Move-upper-extremity, relatedTag=Move-torso	Lift shoulders up towards head to indicate a lack of knowledge about a particular topic.
	3	Smile	Communicate-gesturally	relatedTag=Move-face	Form facial features into a pleased, kind, or amused expression, typically with the corners of the mouth turned up and the front teeth exposed.
	3	Spread-hands	Communicate-gesturally	relatedTag=Move-upper-extremity	Spread hands apart to indicate ignorance.
	3	Thumb-up	Communicate-gesturally	relatedTag=Move-upper-extremity	Extend the thumb upward to indicate approval.
	3	Thumbs-down	Communicate-gesturally	relatedTag=Move-upper-extremity	Extend the thumb downward to indicate disapproval.
	3	Wave	Communicate-gesturally	relatedTag=Move-upper-extremity	Raise hand and move left and right, as a greeting or sign of departure.
	3	Widen-eyes	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-eyes	Open eyes and possibly with eyebrows lifted especially to express surprise or fear.
	3	Wink	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-eyes	Close and open one eye quickly, typically to indicate that something is a joke or a secret or as a signal of affection or greeting.
	2	Communicate-musically	Communicate		Communicate using music.
	3	Hum	Communicate-musically		Make a low, steady continuous sound like that of a bee. Sing with the lips closed and without uttering speech.
	3	Play-instrument	Communicate-musically		Make musical sounds using an instrument.
	3	Sing	Communicate-musically		Produce musical tones by means of the voice.
	3	Vocalize	Communicate-musically		Utter vocal sounds.
	3	Whistle	Communicate-musically		Produce a shrill clear sound by forcing breath out or air in through the puckered lips.
	2	Communicate-vocally	Communicate		Communicate using mouth or vocal cords.
	3	Cry	Communicate-vocally		Shed tears associated with emotions, usually sadness but also joy or frustration.
	3	Groan	Communicate-vocally		Make a deep inarticulate sound in response to pain or despair.
	3	Laugh	Communicate-vocally		Make the spontaneous sounds and movements of the face and body that are the instinctive expressions of lively amusement and sometimes also of contempt or derision.
	3	Scream	Communicate-vocally		Make loud, vociferous cries or yells to express pain, excitement, or fear.
	3	Shout	Communicate-vocally		Say something very loudly.
	3	Sigh	Communicate-vocally		Emit a long, deep, audible breath expressing sadness, relief, tiredness, or a similar feeling.
	3	Speak	Communicate-vocally		Communicate using spoken language.
	3	Whisper	Communicate-vocally		Speak very softly using breath without vocal cords.
	1	Move	Action		Move in a specified direction or manner. Change position or posture.
	2	Breathe	Move		Inhale or exhale during respiration.
	3	Blow	Breathe		Expel air through pursed lips.
	3	Cough	Breathe		Suddenly and audibly expel air from the lungs through a partially closed glottis, preceded by inhalation.
	3	Exhale	Breathe		Blow out or expel breath.
	3	Hiccup	Breathe		Involuntarily spasm  the diaphragm and respiratory organs, with a sudden closure of the glottis and a characteristic sound like that of a cough.
	3	Hold-breath	Breathe		Interrupt normal breathing by ceasing to inhale or exhale.
	3	Inhale	Breathe		Draw in with the breath through the nose or mouth.
	3	Sneeze	Breathe		Suddenly and violently expel breath through the nose and mouth.
	3	Sniff	Breathe		Draw in air audibly through the nose to detect a smell, to stop it from running, or to express contempt.
	2	Move-body	Move		Move entire body.
	3	Bend	Move-body		Move body in a bowed or curved manner.
	3	Dance	Move-body		Perform a purposefully selected sequences of human movement often with aesthetic or symbolic value. Move rhythmically to music, typically following a set sequence of steps.
	3	Fall-down	Move-body		Lose balance and collapse.
