hedId	rdfs:label	omn:SubClassOf	hasUnitClass	Attributes	dc:description
HED_0011600	m-per-s^2	StandardUnit	accelerationUnits	SIUnit, unitSymbol, conversionFactor=1.0, allowedCharacter=caret	
HED_0011601	radian	StandardUnit	angleUnits	SIUnit, conversionFactor=1.0	
HED_0011602	rad	StandardUnit	angleUnits	SIUnit, unitSymbol, conversionFactor=1.0	
HED_0011603	degree	StandardUnit	angleUnits	conversionFactor=0.0174533	
HED_0011604	m^2	StandardUnit	areaUnits	SIUnit, unitSymbol, conversionFactor=1.0, allowedCharacter=caret	
HED_0011605	dollar	StandardUnit	currencyUnits	conversionFactor=1.0	
HED_0011606	$	StandardUnit	currencyUnits	unitPrefix, unitSymbol, conversionFactor=1.0, allowedCharacter=dollar	
HED_0011607	euro	StandardUnit	currencyUnits		The official currency of a large subset of member countries of the European Union.
HED_0011608	point	StandardUnit	currencyUnits		An arbitrary unit of value, usually an integer indicating reward or penalty.
HED_0011609	V	StandardUnit	electricPotentialUnits	SIUnit, unitSymbol, conversionFactor=0.000001	
HED_0011644	uV	StandardUnit	electricPotentialUnits	conversionFactor=1.0	Added as a direct unit because it is the default unit.
HED_0011610	volt	StandardUnit	electricPotentialUnits	SIUnit, conversionFactor=0.000001	
HED_0011611	hertz	StandardUnit	frequencyUnits	SIUnit, conversionFactor=1.0	
HED_0011612	Hz	StandardUnit	frequencyUnits	SIUnit, unitSymbol, conversionFactor=1.0	
HED_0011613	dB	StandardUnit	intensityUnits	unitSymbol, conversionFactor=1.0	Intensity expressed as ratio to a threshold. May be used for sound intensity.
HED_0011614	candela	StandardUnit	intensityUnits	SIUnit	Units used to express light intensity.
HED_0011615	cd	StandardUnit	intensityUnits	SIUnit, unitSymbol	Units used to express light intensity.
HED_0011616	m-per-s^3	StandardUnit	jerkUnits	unitSymbol, conversionFactor=1.0, allowedCharacter=caret	
HED_0011617	tesla	StandardUnit	magneticFieldUnits	SIUnit, conversionFactor=10e-15	
HED_0011618	T	StandardUnit	magneticFieldUnits	SIUnit, unitSymbol, conversionFactor=10e-15	
HED_0011619	byte	StandardUnit	memorySizeUnits	SIUnit, conversionFactor=1.0	
HED_0011620	B	StandardUnit	memorySizeUnits	SIUnit, unitSymbol, conversionFactor=1.0	
HED_0011621	foot	StandardUnit	physicalLengthUnits	conversionFactor=0.3048	
HED_0011622	inch	StandardUnit	physicalLengthUnits	conversionFactor=0.0254	
HED_0011623	meter	StandardUnit	physicalLengthUnits	SIUnit, conversionFactor=1.0	
HED_0011624	metre	StandardUnit	physicalLengthUnits	SIUnit, conversionFactor=1.0	
HED_0011625	m	StandardUnit	physicalLengthUnits	SIUnit, unitSymbol, conversionFactor=1.0	
HED_0011626	mile	StandardUnit	physicalLengthUnits	conversionFactor=1609.34	
HED_0011627	m-per-s	StandardUnit	speedUnits	SIUnit, unitSymbol, conversionFactor=1.0	
HED_0011628	mph	StandardUnit	speedUnits	unitSymbol, conversionFactor=0.44704	
HED_0011629	kph	StandardUnit	speedUnits	unitSymbol, conversionFactor=0.277778	
HED_0011630	degree-Celsius	StandardUnit	temperatureUnits	SIUnit, conversionFactor=1.0	
HED_0011631	degree Celsius	StandardUnit	temperatureUnits	deprecatedFrom=8.2.0, SIUnit, conversionFactor=1.0	Units are not allowed to have spaces. Use degree-Celsius or oC.
HED_0011632	oC	StandardUnit	temperatureUnits	SIUnit, unitSymbol, conversionFactor=1.0	
HED_0011633	second	StandardUnit	timeUnits	SIUnit, conversionFactor=1.0	
HED_0011634	s	StandardUnit	timeUnits	SIUnit, unitSymbol, conversionFactor=1.0	
HED_0011635	day	StandardUnit	timeUnits	conversionFactor=86400	
HED_0011645	month	StandardUnit	timeUnits		
HED_0011636	minute	StandardUnit	timeUnits	conversionFactor=60	
HED_0011637	hour	StandardUnit	timeUnits	conversionFactor=3600	Should be in 24-hour format.
HED_0011638	year	StandardUnit	timeUnits		Years do not have a constant conversion factor to seconds.
HED_0011639	m^3	StandardUnit	volumeUnits	SIUnit, unitSymbol, conversionFactor=1.0, allowedCharacter=caret	
HED_0011640	g	StandardUnit	weightUnits	SIUnit, unitSymbol, conversionFactor=1.0	
HED_0011641	gram	StandardUnit	weightUnits	SIUnit, conversionFactor=1.0	
HED_0011642	pound	StandardUnit	weightUnits	conversionFactor=453.592	
HED_0011643	lb	StandardUnit	weightUnits	conversionFactor=453.592	
