hedId	rdfs:label	omn:SubClassOf	Attributes	dc:description	hasUnitClass
HED_0011600	m-per-s^2	StandardUnit	SIUnit, unitSymbol, conversionFactor=1.0, allowedCharacter=caret		accelerationUnits
HED_0011601	radian	StandardUnit	SIUnit, conversionFactor=1.0		angleUnits
HED_0011602	rad	StandardUnit	SIUnit, unitSymbol, conversionFactor=1.0		angleUnits
HED_0011603	degree	StandardUnit	conversionFactor=0.0174533		angleUnits
HED_0011604	m^2	StandardUnit	SIUnit, unitSymbol, conversionFactor=1.0, allowedCharacter=caret		areaUnits
	coulomb	StandardUnit	SIUnit, conversionFactor=1.0		chargeUnits
	C	StandardUnit	SIUnit, unitSymbol, conversionFactor=1.0		chargeUnits
	molar	StandardUnit	SIUnit, conversionFactor=1.0	One mole per liter.	concentrationUnits
	mol-per-L	StandardUnit	SIUnit, unitSymbol, conversionFactor=1.0		concentrationUnits
HED_0011605	dollar	StandardUnit	conversionFactor=1.0		currencyUnits
HED_0011606	$	StandardUnit	deprecatedFrom=8.4.0, unitPrefix, unitSymbol, conversionFactor=1.0, allowedCharacter=dollar	Prefix units are no longer supported. Use dollar.	currencyUnits
HED_0011607	euro	StandardUnit		The official currency of a large subset of member countries of the European Union.	currencyUnits
HED_0011608	point	StandardUnit		An arbitrary unit of value, usually an integer indicating reward or penalty.	currencyUnits
	ampere	StandardUnit	SIUnit, conversionFactor=1000		currentUnits
	A	StandardUnit	SIUnit, unitSymbol, conversionFactor=1000		currentUnits
HED_0011609	V	StandardUnit	SIUnit, unitSymbol, conversionFactor=1000000		electricPotentialUnits
HED_0011610	volt	StandardUnit	SIUnit, conversionFactor=1000000		electricPotentialUnits
	joule	StandardUnit	SIUnit, conversionFactor=1.0		energyUnits
	J	StandardUnit	SIUnit, unitSymbol, conversionFactor=1.0		energyUnits
	calorie	StandardUnit	SIUnit, conversionFactor=4.184	Thermochemical calorie. Use the kilo modifier for dietary kilocalories.	energyUnits
	newton	StandardUnit	SIUnit, conversionFactor=1.0		forceUnits
	N	StandardUnit	SIUnit, unitSymbol, conversionFactor=1.0		forceUnits
HED_0011611	hertz	StandardUnit	SIUnit, conversionFactor=1.0		frequencyUnits
HED_0011612	Hz	StandardUnit	SIUnit, unitSymbol, conversionFactor=1.0		frequencyUnits
HED_0011613	dB	StandardUnit	unitSymbol, conversionFactor=1.0	Intensity expressed as ratio to a threshold. May be used for sound intensity.	intensityUnits
HED_0011614	candela	StandardUnit	SIUnit	Units used to express light intensity.	intensityUnits
HED_0011615	cd	StandardUnit	SIUnit, unitSymbol	Units used to express light intensity.	intensityUnits
HED_0011616	m-per-s^3	StandardUnit	SIUnit, unitSymbol, conversionFactor=1.0, allowedCharacter=caret		jerkUnits
HED_0011617	tesla	StandardUnit	SIUnit, conversionFactor=1.0		magneticFieldUnits
HED_0011618	T	StandardUnit	SIUnit, unitSymbol, conversionFactor=1.0		magneticFieldUnits
HED_0011619	byte	StandardUnit	SIUnit, conversionFactor=1.0		memorySizeUnits
HED_0011620	B	StandardUnit	SIUnit, unitSymbol, conversionFactor=1.0		memorySizeUnits
