hedId	rdfs:label	omn:SubClassOf	Attributes	dc:description
HED_0011500	accelerationUnits	StandardUnitClass	defaultUnits=m-per-s^2	Units of acceleration, for example the acceleration of a limb or head measured by an accelerometer.
HED_0011501	angleUnits	StandardUnitClass	defaultUnits=radian	Units of plane angle, for example visual angle or joint rotation.
HED_0011502	areaUnits	StandardUnitClass	defaultUnits=m^2	Units of area, for example the size of a stimulus region or a surface on a display.
	chargeUnits	StandardUnitClass	defaultUnits=C	Units of electric charge, for example the charge per phase delivered by electrical stimulation.
	concentrationUnits	StandardUnitClass	defaultUnits=mol-per-L	Units of molar concentration (amount of substance per unit volume).
HED_0011503	currencyUnits	StandardUnitClass	defaultUnits=dollar	Units indicating the worth of something.
	currentUnits	StandardUnitClass	defaultUnits=mA	Units of electric current, for example the current delivered by electrical stimulation.
HED_0011504	electricPotentialUnits	StandardUnitClass	defaultUnits=uV	Units of electric potential, for example EEG and other electrophysiological signal amplitudes.
	energyUnits	StandardUnitClass	defaultUnits=J	Units of energy, for example the energy of a stimulation pulse or metabolic energy.
	forceUnits	StandardUnitClass	defaultUnits=N	Units of force, for example grip force or the reading of a force plate.
HED_0011505	frequencyUnits	StandardUnitClass	defaultUnits=Hz	Units of frequency, for example sampling rates, flicker rates, and tone frequencies.
HED_0011506	intensityUnits	StandardUnitClass	defaultUnits=dB	Units of intensity expressed as a ratio to a reference level, for example sound pressure level in dB, together with candela for luminous intensity.
HED_0011507	jerkUnits	StandardUnitClass	defaultUnits=m-per-s^3	Units of jerk, the rate of change of acceleration, for example in measures of movement smoothness.
HED_0011508	magneticFieldUnits	StandardUnitClass	defaultUnits=T	Units of magnetic flux density, for example MEG signal amplitudes and MRI field strength.
HED_0011509	memorySizeUnits	StandardUnitClass	defaultUnits=B	Units of digital storage size, for example the size of a data file. Byte is treated as an SI unit for prefix purposes although it is not part of the SI.
HED_0011510	physicalLengthUnits	StandardUnitClass	defaultUnits=m	Units of length, for example distances, positions, and sizes of objects or stimuli.
	powerUnits	StandardUnitClass	defaultUnits=mW	Units of power, for example the output of an optogenetic light source or ultrasound transducer.
	pressureUnits	StandardUnitClass	defaultUnits=Pa	Units of pressure, for example blood pressure or the pressure of a tactile or pneumatic stimulus.
	resistanceUnits	StandardUnitClass	defaultUnits=kOhm	Units of electrical resistance or impedance, for example electrode impedance.
HED_0011511	speedUnits	StandardUnitClass	defaultUnits=m-per-s	Units of speed, for example the speed of a moving stimulus or of a participant.
HED_0011512	temperatureUnits	StandardUnitClass	defaultUnits=degree-Celsius	Units of temperature, for example ambient or skin temperature.
HED_0011513	timeUnits	StandardUnitClass	defaultUnits=s	Units of time, for example durations, delays, and intervals between events.
HED_0011514	volumeUnits	StandardUnitClass	defaultUnits=m^3	Units of volume, for example the amount of liquid reward delivered or the volume of an infusion.
HED_0011515	weightUnits	StandardUnitClass	defaultUnits=g	Units of mass, for example body weight or the mass of a delivered substance.
