hedId	Level	rdfs:label	omn:SubClassOf	Attributes	dc:description	owm:EquivalentTo
HED_0012001	0	Event	HedTag	suggestedTag=Task-property	Something that happens at a given time and (typically) place. Elements of this tag subtree designate the general category in which an event falls.	HedTag and (suggestedTag some Task-property) and (inHedSchema some StandardSchema
HED_0012002	1	Sensory-event	Event	suggestedTag=Task-event-role, suggestedTag=Sensory-presentation	Something perceivable by the participant. An event meant to be an experimental stimulus should include the tag Task-property/Task-event-role/Experimental-stimulus.	Event and (suggestedTag some Task-event-role) and (suggestedTag some Sensory-presentation)
HED_0012003	1	Agent-action	Event	suggestedTag=Task-event-role, suggestedTag=Agent	Any action engaged in by an agent (see the Agent subtree for agent categories). A participant response to an experiment stimulus should include the tag Agent-property/Agent-task-role/Experiment-participant.	Event and (suggestedTag some Task-event-role) and (suggestedTag some Agent)
HED_0012004	1	Data-feature	Event	suggestedTag=Data-property	An event marking the occurrence of a data feature such as an interictal spike or alpha burst that is often added post hoc to the data record.	Event and (suggestedTag some Data-property)
HED_0012005	1	Experiment-control	Event		An event pertaining to the physical control of the experiment during its operation.	Event
HED_0012006	1	Experiment-procedure	Event		An event indicating an experimental procedure, as in performing a saliva swab during the experiment or administering a survey.	Event
HED_0012007	1	Experiment-structure	Event		An event specifying a change-point of the structure of experiment. This event is typically used to indicate a change in experimental conditions or tasks.	Event
HED_0012008	1	Measurement-event	Event	suggestedTag=Data-property	A discrete measure returned by an instrument.	Event and (suggestedTag some Data-property)
HED_0012009	0	Agent	HedTag	suggestedTag=Agent-property	Someone or something that takes an active role or produces a specified effect.The role or effect may be implicit. Being alive or performing an activity such as a computation may qualify something to be an agent. An agent may also be something that simulates something else.	HedTag and (suggestedTag some Agent-property) and (inHedSchema some StandardSchema
HED_0012010	1	Animal-agent	Agent		An agent that is an animal.	Agent
HED_0012011	1	Avatar-agent	Agent		An agent associated with an icon or avatar representing another agent.	Agent
HED_0012012	1	Controller-agent	Agent		Experiment control software or hardware.	Agent
HED_0012013	1	Human-agent	Agent		A person who takes an active role or produces a specified effect.	Agent
HED_0012014	1	Robotic-agent	Agent		An agent mechanical device capable of performing a variety of often complex tasks on command or by being programmed in advance.	Agent
HED_0012015	1	Software-agent	Agent		An agent computer program that interacts with the participant in an active role such as an AI advisor.	Agent
HED_0012016	0	Action	HedTag	extensionAllowed	Do something.	HedTag and (extensionAllowed value true) and (inHedSchema some StandardSchema
HED_0012017	1	Communicate	Action		Action conveying knowledge of or about something.	Action
HED_0012018	2	Communicate-gesturally	Communicate	relatedTag=Move-face, relatedTag=Move-upper-extremity	Communicate nonverbally using visible bodily actions, either in place of speech or together and in parallel with spoken words. Gestures include movement of the hands, face, or other parts of the body.	Communicate and (relatedTag some Move-face) and (relatedTag some Move-upper-extremity)
HED_0012019	3	Clap-hands	Communicate-gesturally		Strike the palms of against one another resoundingly, and usually repeatedly, especially to express approval.	Communicate-gesturally
HED_0012020	3	Clear-throat	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-head	Cough slightly so as to speak more clearly, attract attention, or to express hesitancy before saying something awkward.	Communicate-gesturally and (relatedTag some Move-face) and (relatedTag some Move-head)
HED_0012021	3	Frown	Communicate-gesturally	relatedTag=Move-face	Express disapproval, displeasure, or concentration, typically by turning down the corners of the mouth.	Communicate-gesturally and (relatedTag some Move-face)
HED_0012022	3	Grimace	Communicate-gesturally	relatedTag=Move-face	Make a twisted expression, typically expressing disgust, pain, or wry amusement.	Communicate-gesturally and (relatedTag some Move-face)
HED_0012023	3	Nod-head	Communicate-gesturally	relatedTag=Move-head	Tilt head in alternating up and down arcs along the sagittal plane. It is most commonly, but not universally, used to indicate agreement, acceptance, or acknowledgement.	Communicate-gesturally and (relatedTag some Move-head)
HED_0012024	3	Pump-fist	Communicate-gesturally	relatedTag=Move-upper-extremity	Raise with fist clenched in triumph or affirmation.	Communicate-gesturally and (relatedTag some Move-upper-extremity)
HED_0012025	3	Raise-eyebrows	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-eyes	Move eyebrows upward.	Communicate-gesturally and (relatedTag some Move-face) and (relatedTag some Move-eyes)
HED_0012026	3	Shake-fist	Communicate-gesturally	relatedTag=Move-upper-extremity	Clench hand into a fist and shake to demonstrate anger.	Communicate-gesturally and (relatedTag some Move-upper-extremity)
HED_0012027	3	Shake-head	Communicate-gesturally	relatedTag=Move-head	Turn head from side to side as a way of showing disagreement or refusal.	Communicate-gesturally and (relatedTag some Move-head)
HED_0012028	3	Shhh	Communicate-gesturally	relatedTag=Move-upper-extremity	Place finger over lips and possibly uttering the syllable shhh to indicate the need to be quiet.	Communicate-gesturally and (relatedTag some Move-upper-extremity)
HED_0012029	3	Shrug	Communicate-gesturally	relatedTag=Move-upper-extremity, relatedTag=Move-torso	Lift shoulders up towards head to indicate a lack of knowledge about a particular topic.	Communicate-gesturally and (relatedTag some Move-upper-extremity) and (relatedTag some Move-torso)
HED_0012030	3	Smile	Communicate-gesturally	relatedTag=Move-face	Form facial features into a pleased, kind, or amused expression, typically with the corners of the mouth turned up and the front teeth exposed.	Communicate-gesturally and (relatedTag some Move-face)
HED_0012031	3	Spread-hands	Communicate-gesturally	relatedTag=Move-upper-extremity	Spread hands apart to indicate ignorance.	Communicate-gesturally and (relatedTag some Move-upper-extremity)
HED_0012032	3	Thumb-up	Communicate-gesturally	relatedTag=Move-upper-extremity	Extend the thumb upward to indicate approval.	Communicate-gesturally and (relatedTag some Move-upper-extremity)
HED_0012033	3	Thumbs-down	Communicate-gesturally	relatedTag=Move-upper-extremity	Extend the thumb downward to indicate disapproval.	Communicate-gesturally and (relatedTag some Move-upper-extremity)
HED_0012034	3	Wave	Communicate-gesturally	relatedTag=Move-upper-extremity	Raise hand and move left and right, as a greeting or sign of departure.	Communicate-gesturally and (relatedTag some Move-upper-extremity)
HED_0012035	3	Widen-eyes	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-eyes	Open eyes and possibly with eyebrows lifted especially to express surprise or fear.	Communicate-gesturally and (relatedTag some Move-face) and (relatedTag some Move-eyes)
HED_0012036	3	Wink	Communicate-gesturally	relatedTag=Move-face, relatedTag=Move-eyes	Close and open one eye quickly, typically to indicate that something is a joke or a secret or as a signal of affection or greeting.	Communicate-gesturally and (relatedTag some Move-face) and (relatedTag some Move-eyes)
HED_0012037	2	Communicate-musically	Communicate		Communicate using music.	Communicate
HED_0012038	3	Hum	Communicate-musically		Make a low, steady continuous sound like that of a bee. Sing with the lips closed and without uttering speech.	Communicate-musically
HED_0012039	3	Play-instrument	Communicate-musically		Make musical sounds using an instrument.	Communicate-musically
HED_0012040	3	Sing	Communicate-musically		Produce musical tones by means of the voice.	Communicate-musically
HED_0012041	3	Vocalize	Communicate-musically		Utter vocal sounds.	Communicate-musically
HED_0012042	3	Whistle	Communicate-musically		Produce a shrill clear sound by forcing breath out or air in through the puckered lips.	Communicate-musically
HED_0012043	2	Communicate-vocally	Communicate		Communicate using mouth or vocal cords.	Communicate
HED_0012044	3	Cry	Communicate-vocally		Shed tears associated with emotions, usually sadness but also joy or frustration.	Communicate-vocally
HED_0012045	3	Groan	Communicate-vocally		Make a deep inarticulate sound in response to pain or despair.	Communicate-vocally
HED_0012046	3	Laugh	Communicate-vocally		Make the spontaneous sounds and movements of the face and body that are the instinctive expressions of lively amusement and sometimes also of contempt or derision.	Communicate-vocally
HED_0012047	3	Scream	Communicate-vocally		Make loud, vociferous cries or yells to express pain, excitement, or fear.	Communicate-vocally
HED_0012048	3	Shout	Communicate-vocally		Say something very loudly.	Communicate-vocally
HED_0012049	3	Sigh	Communicate-vocally		Emit a long, deep, audible breath expressing sadness, relief, tiredness, or a similar feeling.	Communicate-vocally
HED_0012050	3	Speak	Communicate-vocally		Communicate using spoken language.	Communicate-vocally
HED_0012051	3	Whisper	Communicate-vocally		Speak very softly using breath without vocal cords.	Communicate-vocally
HED_0012052	1	Move	Action		Move in a specified direction or manner. Change position or posture.	Action
HED_0012053	2	Breathe	Move		Inhale or exhale during respiration.	Move
HED_0012054	3	Blow	Breathe		Expel air through pursed lips.	Breathe
HED_0012055	3	Cough	Breathe		Suddenly and audibly expel air from the lungs through a partially closed glottis, preceded by inhalation.	Breathe
HED_0012056	3	Exhale	Breathe		Blow out or expel breath.	Breathe
HED_0012057	3	Hiccup	Breathe		Involuntarily spasm the diaphragm and respiratory organs, with a sudden closure of the glottis and a characteristic sound like that of a cough.	Breathe
HED_0012058	3	Hold-breath	Breathe		Interrupt normal breathing by ceasing to inhale or exhale.	Breathe
HED_0012059	3	Inhale	Breathe		Draw in with the breath through the nose or mouth.	Breathe
HED_0012060	3	Sneeze	Breathe		Suddenly and violently expel breath through the nose and mouth.	Breathe
HED_0012061	3	Sniff	Breathe		Draw in air audibly through the nose to detect a smell, to stop it from running, or to express contempt.	Breathe
HED_0012062	2	Move-body	Move		Move entire body.	Move
HED_0012063	3	Bend	Move-body		Move body in a bowed or curved manner.	Move-body
HED_0012064	3	Dance	Move-body		Perform a purposefully selected sequences of human movement often with aesthetic or symbolic value. Move rhythmically to music, typically following a set sequence of steps.	Move-body
HED_0012065	3	Fall-down	Move-body		Lose balance and collapse.	Move-body
HED_0012066	3	Flex	Move-body		Cause a muscle to stand out by contracting or tensing it. Bend a limb or joint.	Move-body
HED_0012067	3	Jerk	Move-body		Make a quick, sharp, sudden movement.	Move-body
HED_0012068	3	Lie-down	Move-body		Move to a horizontal or resting position.	Move-body
HED_0012069	3	Recover-balance	Move-body		Return to a stable, upright body position.	Move-body
HED_0012070	3	Shudder	Move-body		Tremble convulsively, sometimes as a result of fear or revulsion.	Move-body
HED_0012071	3	Sit-down	Move-body		Move from a standing to a sitting position.	Move-body
HED_0012072	3	Sit-up	Move-body		Move from lying down to a sitting position.	Move-body
HED_0012073	3	Stand-up	Move-body		Move from a sitting to a standing position.	Move-body
HED_0012074	3	Stretch	Move-body		Straighten or extend body or a part of body to its full length, typically so as to tighten muscles or in order to reach something.	Move-body
HED_0012075	3	Stumble	Move-body		Trip or momentarily lose balance and almost fall.	Move-body
HED_0012076	3	Turn	Move-body		Change or cause to change direction.	Move-body
HED_0012077	2	Move-body-part	Move		Move one part of a body.	Move
HED_0012078	3	Move-eyes	Move-body-part		Move eyes.	Move-body-part
HED_0012079	4	Blink	Move-eyes		Shut and open the eyes quickly.	Move-eyes
HED_0012080	4	Close-eyes	Move-eyes		Lower and keep eyelids in a closed position.	Move-eyes
HED_0012081	4	Fixate	Move-eyes		Direct eyes to a specific point or target.	Move-eyes
HED_0012082	4	Inhibit-blinks	Move-eyes		Purposely prevent blinking.	Move-eyes
HED_0012083	4	Open-eyes	Move-eyes		Raise eyelids to expose pupil.	Move-eyes
HED_0012084	4	Saccade	Move-eyes		Move eyes rapidly between fixation points.	Move-eyes
HED_0012085	4	Squint	Move-eyes		Squeeze one or both eyes partly closed in an attempt to see more clearly or as a reaction to strong light.	Move-eyes
HED_0012086	4	Stare	Move-eyes		Look fixedly or vacantly at someone or something with eyes wide open.	Move-eyes
HED_0012087	3	Move-face	Move-body-part		Move the face or jaw.	Move-body-part
HED_0012088	4	Bite	Move-face		Seize with teeth or jaws an object or organism so as to grip or break the surface covering.	Move-face
HED_0012089	4	Burp	Move-face		Noisily release air from the stomach through the mouth. Belch.	Move-face
HED_0012090	4	Chew	Move-face		Repeatedly grinding, tearing, and or crushing with teeth or jaws.	Move-face
HED_0012091	4	Gurgle	Move-face		Make a hollow bubbling sound like that made by water running out of a bottle.	Move-face
HED_0012092	4	Swallow	Move-face		Cause or allow something, especially food or drink to pass down the throat.	Move-face
HED_0012093	5	Gulp	Swallow		Swallow quickly or in large mouthfuls, often audibly, sometimes to indicate apprehension.	Swallow
HED_0012094	4	Yawn	Move-face		Take a deep involuntary inhalation with the mouth open often as a sign of drowsiness or boredom.	Move-face
HED_0012095	3	Move-head	Move-body-part		Move head.	Move-body-part
HED_0012096	4	Lift-head	Move-head		Tilt head back lifting chin.	Move-head
HED_0012097	4	Lower-head	Move-head		Move head downward so that eyes are in a lower position.	Move-head
HED_0012098	4	Turn-head	Move-head		Rotate head horizontally to look in a different direction.	Move-head
HED_0012099	3	Move-lower-extremity	Move-body-part		Move leg and/or foot.	Move-body-part
HED_0012100	4	Curl-toes	Move-lower-extremity		Bend toes sometimes to grip.	Move-lower-extremity
HED_0012101	4	Hop	Move-lower-extremity		Jump on one foot.	Move-lower-extremity
HED_0012102	4	Jog	Move-lower-extremity		Run at a trot to exercise.	Move-lower-extremity
HED_0012103	4	Jump	Move-lower-extremity		Move off the ground or other surface through sudden muscular effort in the legs.	Move-lower-extremity
HED_0012104	4	Kick	Move-lower-extremity		Strike out or flail with the foot or feet.Strike using the leg, in unison usually with an area of the knee or lower using the foot.	Move-lower-extremity
HED_0012105	4	Pedal	Move-lower-extremity		Move by working the pedals of a bicycle or other machine.	Move-lower-extremity
HED_0012106	4	Press-foot	Move-lower-extremity		Move by pressing foot.	Move-lower-extremity
HED_0012107	4	Run	Move-lower-extremity		Travel on foot at a fast pace.	Move-lower-extremity
HED_0012108	4	Step	Move-lower-extremity		Put one leg in front of the other and shift weight onto it.	Move-lower-extremity
HED_0012109	5	Heel-strike	Step		Strike the ground with the heel during a step.	Step
HED_0012110	5	Toe-off	Step		Push with toe as part of a stride.	Step
HED_0012111	4	Trot	Move-lower-extremity		Run at a moderate pace, typically with short steps.	Move-lower-extremity
HED_0012112	4	Walk	Move-lower-extremity		Move at a regular pace by lifting and setting down each foot in turn never having both feet off the ground at once.	Move-lower-extremity
HED_0012113	3	Move-torso	Move-body-part		Move body trunk.	Move-body-part
HED_0012114	3	Move-upper-extremity	Move-body-part		Move arm, shoulder, and/or hand.	Move-body-part
HED_0012115	4	Drop	Move-upper-extremity		Let or cause to fall vertically.	Move-upper-extremity
HED_0012116	4	Grab	Move-upper-extremity		Seize suddenly or quickly. Snatch or clutch.	Move-upper-extremity
HED_0012117	4	Grasp	Move-upper-extremity		Seize and hold firmly.	Move-upper-extremity
HED_0012118	4	Hold-down	Move-upper-extremity		Prevent someone or something from moving by holding them firmly.	Move-upper-extremity
HED_0012119	4	Lift	Move-upper-extremity		Raising something to higher position.	Move-upper-extremity
HED_0012120	4	Make-fist	Move-upper-extremity		Close hand tightly with the fingers bent against the palm.	Move-upper-extremity
HED_0012121	4	Point	Move-upper-extremity		Draw attention to something by extending a finger or arm.	Move-upper-extremity
HED_0012122	4	Press	Move-upper-extremity	relatedTag=Push	Apply pressure to something to flatten, shape, smooth or depress it. This action tag should be used to indicate key presses and mouse clicks.	Move-upper-extremity and (relatedTag some Push)
HED_0012123	4	Push	Move-upper-extremity	relatedTag=Press	Apply force in order to move something away. Use Press to indicate a key press or mouse click.	Move-upper-extremity and (relatedTag some Press)
HED_0012124	4	Reach	Move-upper-extremity		Stretch out your arm in order to get or touch something.	Move-upper-extremity
HED_0012125	4	Release	Move-upper-extremity		Make available or set free.	Move-upper-extremity
HED_0012126	4	Retract	Move-upper-extremity		Draw or pull back.	Move-upper-extremity
HED_0012127	4	Scratch	Move-upper-extremity		Drag claws or nails over a surface or on skin.	Move-upper-extremity
HED_0012128	4	Snap-fingers	Move-upper-extremity		Make a noise by pushing second finger hard against thumb and then releasing it suddenly so that it hits the base of the thumb.	Move-upper-extremity
HED_0012129	4	Touch	Move-upper-extremity		Come into or be in contact with.	Move-upper-extremity
HED_0012130	1	Perceive	Action		Produce an internal, conscious image through stimulating a sensory system.	Action
HED_0012131	2	Hear	Perceive		Give attention to a sound.	Perceive
HED_0012132	2	See	Perceive		Direct gaze toward someone or something or in a specified direction.	Perceive
HED_0012133	2	Sense-by-touch	Perceive		Sense something through receptors in the skin.	Perceive
HED_0012134	2	Smell	Perceive		Inhale in order to ascertain an odor or scent.	Perceive
HED_0012135	2	Taste	Perceive		Sense a flavor in the mouth and throat on contact with a substance.	Perceive
HED_0012136	1	Perform	Action		Carry out or accomplish an action, task, or function.	Action
HED_0012137	2	Close	Perform		Act as to blocked against entry or passage.	Perform
HED_0012138	2	Collide-with	Perform		Hit with force when moving.	Perform
HED_0012139	2	Halt	Perform		Bring or come to an abrupt stop.	Perform
HED_0012140	2	Modify	Perform		Change something.	Perform
HED_0012141	2	Open	Perform		Widen an aperture, door, or gap, especially one allowing access to something.	Perform
HED_0012142	2	Operate	Perform		Control the functioning of a machine, process, or system.	Perform
HED_0012143	2	Play	Perform		Engage in activity for enjoyment and recreation rather than a serious or practical purpose.	Perform
HED_0012144	2	Read	Perform		Interpret something that is written or printed.	Perform
HED_0012145	2	Repeat	Perform		Make do or perform again.	Perform
HED_0012146	2	Rest	Perform		Be inactive in order to regain strength, health, or energy.	Perform
HED_0012147	2	Ride	Perform		Ride on an animal or in a vehicle. Ride conveys some notion that another agent has partial or total control of the motion.	Perform
HED_0012148	2	Write	Perform		Communicate or express by means of letters or symbols written or imprinted on a surface.	Perform
HED_0012149	1	Think	Action		Direct the mind toward someone or something or use the mind actively to form connected ideas.	Action
HED_0012150	2	Allow	Think		Allow access to something such as allowing a car to pass.	Think
HED_0012151	2	Attend-to	Think		Focus mental experience on specific targets.	Think
HED_0012152	2	Count	Think		Tally items either silently or aloud.	Think
HED_0012153	2	Deny	Think		Refuse to give or grant something requested or desired by someone.	Think
HED_0012154	2	Detect	Think		Discover or identify the presence or existence of something.	Think
HED_0012155	2	Discriminate	Think		Recognize a distinction.	Think
HED_0012156	2	Encode	Think		Convert information or an instruction into a particular form.	Think
HED_0012157	2	Evade	Think		Escape or avoid, especially by cleverness or trickery.	Think
HED_0012158	2	Generate	Think		Cause something, especially an emotion or situation to arise or come about.	Think
HED_0012159	2	Identify	Think		Establish or indicate who or what someone or something is.	Think
HED_0012160	2	Imagine	Think		Form a mental image or concept of something.	Think
HED_0012161	2	Judge	Think		Evaluate evidence to make a decision or form a belief.	Think
HED_0012162	2	Learn	Think		Adaptively change behavior as the result of experience.	Think
HED_0012163	2	Memorize	Think		Adaptively change behavior as the result of experience.	Think
HED_0012164	2	Plan	Think		Think about the activities required to achieve a desired goal.	Think
HED_0012165	2	Predict	Think		Say or estimate that something will happen or will be a consequence of something without having exact information.	Think
HED_0012166	2	Recall	Think		Remember information by mental effort.	Think
HED_0012167	2	Recognize	Think		Identify someone or something from having encountered them before.	Think
HED_0012168	2	Respond	Think		React to something such as a treatment or a stimulus.	Think
HED_0012169	2	Switch-attention	Think		Transfer attention from one focus to another.	Think
HED_0012170	2	Track	Think		Follow a person, animal, or object through space or time.	Think
HED_0012171	0	Item	HedTag	extensionAllowed	An independently existing thing (living or nonliving).	HedTag and (extensionAllowed value true) and (inHedSchema some StandardSchema
HED_0012172	1	Biological-item	Item		An entity that is biological, that is related to living organisms.	Item
HED_0012173	2	Anatomical-item	Biological-item		A biological structure, system, fluid or other substance excluding single molecular entities.	Biological-item
HED_0012174	3	Body	Anatomical-item		The biological structure representing an organism.	Anatomical-item
HED_0012175	3	Body-part	Anatomical-item		Any part of an organism.	Anatomical-item
HED_0012176	4	Head	Body-part		The upper part of the human body, or the front or upper part of the body of an animal, typically separated from the rest of the body by a neck, and containing the brain, mouth, and sense organs.	Body-part
HED_0013200	4	Head-part	Body-part		A part of the head.	Body-part
HED_0012177	5	Brain	Head-part		Organ inside the head that is made up of nerve cells and controls the body.	Head-part
HED_0013201	5	Brain-region	Head-part		A region of the brain.	Head-part
HED_0013202	6	Cerebellum	Brain-region		A major structure of the brain located near the brainstem. It plays a key role in motor control, coordination, precision, with contributions to different cognitive functions.	Brain-region
HED_0012178	6	Frontal-lobe	Brain-region			Brain-region
HED_0012179	6	Occipital-lobe	Brain-region			Brain-region
HED_0012180	6	Parietal-lobe	Brain-region			Brain-region
HED_0012181	6	Temporal-lobe	Brain-region			Brain-region
HED_0012182	5	Ear	Head-part		A sense organ needed for the detection of sound and for establishing balance.	Head-part
HED_0012183	5	Face	Head-part		The anterior portion of the head extending from the forehead to the chin and ear to ear. The facial structures contain the eyes, nose and mouth, cheeks and jaws.	Head-part
HED_0013203	5	Face-part	Head-part		A part of the face.	Head-part
HED_0012184	6	Cheek	Face-part		The fleshy part of the face bounded by the eyes, nose, ear, and jawline.	Face-part
HED_0012185	6	Chin	Face-part		The part of the face below the lower lip and including the protruding part of the lower jaw.	Face-part
HED_0012186	6	Eye	Face-part		The organ of sight or vision.	Face-part
HED_0012187	6	Eyebrow	Face-part		The arched strip of hair on the bony ridge above each eye socket.	Face-part
HED_0012188	6	Eyelid	Face-part		The folds of the skin that cover the eye when closed.	Face-part
HED_0012189	6	Forehead	Face-part		The part of the face between the eyebrows and the normal hairline.	Face-part
HED_0012190	6	Lip	Face-part		Fleshy fold which surrounds the opening of the mouth.	Face-part
HED_0012191	6	Mouth	Face-part		The proximal portion of the digestive tract, containing the oral cavity and bounded by the oral opening.	Face-part
HED_0013204	6	Mouth-part	Face-part		A part of the mouth.	Face-part
HED_0012193	7	Teeth	Mouth-part		The hard bonelike structures in the jaws. A collection of teeth arranged in some pattern in the mouth or other part of the body.	Mouth-part
